DATE,Value,avg
1/1/1985,72.5052,0
2/1/1985,70.672,0
3/1/1985,62.4502,0
4/1/1985,57.4714,0
5/1/1985,55.3151,0
6/1/1985,58.0904,0
7/1/1985,62.6202,0
8/1/1985,63.2485,0
9/1/1985,60.5846,0
10/1/1985,56.3154,0
11/1/1985,58.0005,0
12/1/1985,68.7145,0
1/1/1986,73.3057,0
2/1/1986,67.9869,0
3/1/1986,62.2221,0
4/1/1986,57.0329,0
5/1/1986,55.8137,0
6/1/1986,59.9005,0
7/1/1986,65.7655,0
8/1/1986,64.4816,0
9/1/1986,61.0005,0
10/1/1986,57.5322,0
11/1/1986,59.3417,0
12/1/1986,68.1354,0
1/1/1987,73.8152,0
2/1/1987,70.062,0
3/1/1987,65.61,0
4/1/1987,60.1586,0
5/1/1987,58.8734,0
6/1/1987,63.8918,0
7/1/1987,68.8694,0
8/1/1987,70.0669,0
9/1/1987,64.1151,0
10/1/1987,60.3789,0
11/1/1987,62.4643,0
12/1/1987,70.5777,0
1/1/1988,79.8703,0
2/1/1988,76.1622,0
3/1/1988,70.2928,0
4/1/1988,63.2384,0
5/1/1988,61.4065,0
6/1/1988,67.1097,0
7/1/1988,72.9816,0
8/1/1988,75.7655,0
9/1/1988,67.5152,0
10/1/1988,63.2832,0
11/1/1988,65.1078,0
12/1/1988,73.8631,0
1/1/1989,77.9188,0
2/1/1989,76.6822,0
3/1/1989,73.3523,0
4/1/1989,65.1081,0
5/1/1989,63.6892,0
6/1/1989,68.4722,0
7/1/1989,74.0301,66.36114444
8/1/1989,75.0448,66.75480444
9/1/1989,69.3053,67.13356667
10/1/1989,65.8735,67.14669556
11/1/1989,69.0706,66.98153556
12/1/1989,84.1949,67.00561778
1/1/1990,84.3598,67.49390222
2/1/1990,77.1726,68.10116667
3/1/1990,73.1964,68.57580889
4/1/1990,67.2781,68.87127333
5/1/1990,65.8218,68.90488667
6/1/1990,71.4654,68.93466889
7/1/1990,76.614,69.16722222
8/1/1990,77.1052,69.59126222
9/1/1990,73.061,69.98600667
10/1/1990,67.4365,70.09546444
11/1/1990,68.5665,69.95371556
12/1/1990,77.6839,69.92048222
1/1/1991,86.0214,70.18879111
2/1/1991,77.5573,70.76352
3/1/1991,73.365,71.17871778
4/1/1991,67.15,71.38923333
5/1/1991,68.8162,71.35102444
6/1/1991,74.8448,71.32323111
7/1/1991,80.0928,71.56166889
8/1/1991,79.1606,71.99975556
9/1/1991,73.5743,72.37078444
10/1/1991,68.7538,72.43737556
11/1/1991,72.5166,72.19034222
12/1/1991,79.4894,72.10932889
1/1/1992,85.2855,72.31369778
2/1/1992,80.1643,72.80363333
3/1/1992,74.5275,73.22047333
4/1/1992,69.6441,73.38531333
5/1/1992,67.1784,73.31114667
6/1/1992,71.2078,73.12032222
7/1/1992,77.5081,73.20238
8/1/1992,76.5374,73.51848889
9/1/1992,72.3541,73.77248
10/1/1992,69.0286,73.73894667
11/1/1992,73.4992,73.54138667
12/1/1992,84.5159,73.47065333
1/1/1993,87.9464,73.71873333
2/1/1993,84.5561,74.22625111
3/1/1993,79.4747,74.68996
4/1/1993,71.0578,74.93446
5/1/1993,67.6762,74.86840889
6/1/1993,74.3297,74.70466222
7/1/1993,82.1048,74.81631556
8/1/1993,82.0605,75.17701111
9/1/1993,74.6031,75.46567556
10/1/1993,69.681,75.25252444
11/1/1993,74.4292,74.92632889
12/1/1993,84.2284,74.86536444
1/1/1994,94.1386,75.11052
2/1/1994,87.1607,75.70742
3/1/1994,79.2456,76.18161778
4/1/1994,70.9749,76.35451111
5/1/1994,69.3844,76.22919778
6/1/1994,77.9831,76.05762444
7/1/1994,83.277,76.16700444
8/1/1994,81.8872,76.51901556
9/1/1994,75.6826,76.81503111
10/1/1994,71.2661,76.77055778
11/1/1994,75.2458,76.44266222
12/1/1994,84.8147,76.39129556
1/1/1995,92.4532,76.64573333
2/1/1995,87.4033,77.20802667
3/1/1995,81.2661,77.62107333
4/1/1995,73.8167,77.76376889
5/1/1995,73.2682,77.6243
6/1/1995,78.3026,77.49335778
7/1/1995,85.9841,77.59843111
8/1/1995,89.5467,77.98132667
9/1/1995,78.5035,78.35977333
10/1/1995,73.7066,78.33786444
11/1/1995,79.6543,78.08055556
12/1/1995,90.8251,78.06922222
1/1/1996,98.9732,78.43139111
2/1/1996,92.8883,79.08314889
3/1/1996,86.9356,79.65448
4/1/1996,77.2214,80.00398667
5/1/1996,76.6826,79.99761556
6/1/1996,81.9306,80.00084222
7/1/1996,85.9606,80.21365333
8/1/1996,86.5562,80.58992
9/1/1996,79.1919,80.88007556
10/1/1996,74.6891,80.76176444
11/1/1996,81.074,80.46715778
12/1/1996,90.4855,80.38977778
1/1/1997,98.4613,80.63446222
2/1/1997,89.7795,81.24342889
3/1/1997,83.0125,81.73461333
4/1/1997,76.1476,81.92756444
5/1/1997,73.8471,81.79518222
6/1/1997,79.7645,81.61266222
7/1/1997,88.4519,81.72736
8/1/1997,87.7828,82.14449111
9/1/1997,81.9386,82.44123778
10/1/1997,77.5027,82.39035333
11/1/1997,82.0448,82.02066667
12/1/1997,92.101,81.90698
1/1/1998,94.792,82.19265556
2/1/1998,87.82,82.72192444
3/1/1998,86.5549,83.13160444
4/1/1998,76.7521,83.32208889
5/1/1998,78.0303,83.17709111
6/1/1998,86.4579,83.09138222
7/1/1998,93.8379,83.33083333
8/1/1998,93.531,83.83242889
9/1/1998,87.5414,84.23876667
10/1/1998,80.0924,84.29936
11/1/1998,81.4349,84.02467556
12/1/1998,91.6841,83.89204444
1/1/1999,102.1348,84.12355556
2/1/1999,91.1829,84.75284667
3/1/1999,90.7381,85.15095111
4/1/1999,80.5176,85.42729556
5/1/1999,79.3887,85.30581778
6/1/1999,87.8431,85.08008444
7/1/1999,97.4903,85.28763111
8/1/1999,96.4157,85.81615778
9/1/1999,87.2248,86.18863333
10/1/1999,80.6409,86.10862667
11/1/1999,82.2025,85.70124222
12/1/1999,94.5113,85.46378
1/1/2000,102.2301,85.63212889
2/1/2000,94.2989,86.18787778
3/1/2000,88.0927,86.57935111
4/1/2000,81.4425,86.71628667
5/1/2000,84.4552,86.61588444
6/1/2000,91.0406,86.56919556
7/1/2000,95.9957,86.8325
8/1/2000,99.3704,87.30598
9/1/2000,90.9178,87.71256667
10/1/2000,83.1408,87.72217333
11/1/2000,88.041,87.38171778
12/1/2000,102.4558,87.34308444
1/1/2001,109.1081,87.77515778
2/1/2001,97.1717,88.50761333
3/1/2001,92.8283,89.02593778
4/1/2001,82.915,89.31624444
5/1/2001,82.5465,89.19320222
6/1/2001,90.3955,89.07684
7/1/2001,96.074,89.26477111
8/1/2001,99.5534,89.67746667
9/1/2001,88.281,90.06654667
10/1/2001,82.686,89.98165778
11/1/2001,82.9319,89.71263556
12/1/2001,93.0381,89.60401111
1/1/2002,102.9955,89.74808222
2/1/2002,95.2075,90.33126889
3/1/2002,93.2556,90.71298444
4/1/2002,85.795,90.86404444
5/1/2002,85.2351,90.68531333
6/1/2002,93.1896,90.50096
7/1/2002,102.393,90.62647556
8/1/2002,101.6293,91.12204444
9/1/2002,93.3089,91.57080889
10/1/2002,86.9002,91.60691556
11/1/2002,88.5749,91.26836889
12/1/2002,100.8003,91.21041333
1/1/2003,110.1807,91.43401778
2/1/2003,103.8413,92.09319778
3/1/2003,94.5532,92.63658889
4/1/2003,85.062,92.78570222
5/1/2003,85.4653,92.50951778
6/1/2003,91.0761,92.26617556
7/1/2003,102.22,92.35176
8/1/2003,104.4682,92.83129556
9/1/2003,92.9135,93.32608889
10/1/2003,86.5047,93.29058222
11/1/2003,88.5735,92.94112889
12/1/2003,103.5428,92.81389778
1/1/2004,113.7226,93.15723333
2/1/2004,106.159,93.87456889
3/1/2004,95.4029,94.35687556
4/1/2004,86.7233,94.45381556
5/1/2004,89.0302,94.24776222
6/1/2004,95.5045,94.01798
7/1/2004,101.7948,94.11990667
8/1/2004,100.2025,94.53444
9/1/2004,94.024,94.80469556
10/1/2004,87.5262,94.61732222
11/1/2004,89.6144,94.13772444
12/1/2004,105.7263,93.96978444
1/1/2005,111.1614,94.25640667
2/1/2005,101.7795,94.88410444
3/1/2005,98.9565,95.31150444
4/1/2005,86.4776,95.50174889
5/1/2005,87.2234,95.28849556
6/1/2005,99.5076,95.01449556
7/1/2005,108.3501,95.26397556
8/1/2005,109.4862,95.83428889
9/1/2005,99.1155,96.42438444
10/1/2005,89.7567,96.55943778
11/1/2005,90.4587,96.26524222
12/1/2005,108.2257,96.15971333
1/1/2006,104.4724,96.49238222
2/1/2006,101.5196,96.90743556
3/1/2006,98.4017,97.26931333
4/1/2006,87.5093,97.38513778
5/1/2006,90.0222,97.05438889
6/1/2006,100.5244,96.79645333
7/1/2006,110.9503,96.95679778
8/1/2006,111.5192,97.49124444
9/1/2006,95.7632,98.00111778
10/1/2006,90.3738,97.88918222
11/1/2006,92.3566,97.44902889
12/1/2006,103.066,97.19381333
1/1/2007,112.0576,97.38298667
2/1/2007,111.8399,97.98288889
3/1/2007,99.1925,98.56899111
4/1/2007,90.8177,98.74935556
5/1/2007,92.0587,98.49597111
6/1/2007,100.9676,98.22020444
7/1/2007,107.5686,98.39918444
8/1/2007,114.1036,98.86727111
9/1/2007,101.5316,99.43460667
10/1/2007,93.0068,99.38991333
11/1/2007,93.9126,98.92956222
12/1/2007,106.7528,98.65742
1/1/2008,114.8331,98.90964
2/1/2008,108.2353,99.53430222
3/1/2008,100.4386,99.96108222
4/1/2008,90.9944,100.0707289
5/1/2008,91.2348,99.83072
6/1/2008,103.9581,99.63143778
7/1/2008,110.7631,99.85219556
8/1/2008,107.5665,100.3685711
9/1/2008,97.7183,100.7675067
10/1/2008,90.9979,100.5895511
11/1/2008,93.8057,100.1414733
12/1/2008,109.4221,99.96427778
1/1/2009,116.8316,100.1968467
2/1/2009,104.4202,100.87138
3/1/2009,97.8529,101.2535311
4/1/2009,88.1973,101.21676
5/1/2009,87.5366,100.76892
6/1/2009,97.2387,100.2811511
7/1/2009,103.9086,100.2394444
8/1/2009,105.7486,100.5539311
9/1/2009,94.8823,100.8937067
10/1/2009,89.2977,100.5971867
11/1/2009,89.3585,100.2599711
12/1/2009,110.6844,99.98972444
1/1/2010,119.0166,100.2626733
2/1/2010,110.533,100.9628356
3/1/2010,98.2672,101.4186311
4/1/2010,86.3,101.3684711
5/1/2010,90.8364,100.8206867
6/1/2010,104.3538,100.3610689
7/1/2010,112.8066,100.5519711
8/1/2010,112.9014,101.0504778
9/1/2010,100.1209,101.5070289
10/1/2010,88.9251,101.4415822
11/1/2010,92.775,100.9275267
12/1/2010,114.3266,100.5038622
1/1/2011,119.488,100.8401756
2/1/2011,107.3753,101.4772933
3/1/2011,99.1028,101.8176622
4/1/2011,89.3583,101.7762222
5/1/2011,90.0698,101.3715489
6/1/2011,102.8204,100.8374644
7/1/2011,114.7068,100.8661044
8/1/2011,113.5958,101.3483267
9/1/2011,99.4712,101.7857311
10/1/2011,90.3566,101.6239178
11/1/2011,93.8095,101.0799956
12/1/2011,107.3312,100.7594222
1/1/2012,111.9646,100.9125911
2/1/2012,103.3679,101.3785956
3/1/2012,93.5772,101.64822
4/1/2012,87.5566,101.4175333
5/1/2012,92.7603,100.9018333
6/1/2012,101.14,100.5728067
7/1/2012,113.0357,100.6488444
8/1/2012,109.8601,101.1385733
9/1/2012,96.7431,101.4953378
10/1/2012,90.3805,101.2135822
11/1/2012,94.3417,100.62578
12/1/2012,105.2722,100.4018133
1/1/2013,115.501,100.5666867
2/1/2013,106.734,101.1734356
3/1/2013,102.9948,101.6000444
4/1/2013,91.0092,101.7279578
5/1/2013,90.9634,101.4413044
6/1/2013,100.6957,101.1127444
7/1/2013,110.148,101.2419311
8/1/2013,108.1756,101.7052711
9/1/2013,99.2809,102.1234289
10/1/2013,91.7871,101.8700178
11/1/2013,97.2853,101.2649178
12/1/2013,113.4732,100.9705244
1/1/2014,124.2549,101.3084356
2/1/2014,112.8811,102.1518778
3/1/2014,104.7631,102.64176
4/1/2014,90.2867,102.6508556
5/1/2014,92.134,102.1504133
6/1/2014,101.878,101.6889156
7/1/2014,108.5497,101.7279622
8/1/2014,108.194,102.1640644
9/1/2014,100.4172,102.5067089
10/1/2014,92.3837,102.1976111
11/1/2014,99.7033,101.5952933
12/1/2014,109.3477,101.4248044
1/1/2015,120.2696,101.6524689
2/1/2015,116.3788,102.3393867
3/1/2015,104.4706,102.9240311
4/1/2015,89.7461,102.9607022
5/1/2015,91.093,102.40602
6/1/2015,102.6495,101.9059578
7/1/2015,111.6354,101.9765867
8/1/2015,110.5925,102.4494489
9/1/2015,101.9204,102.8224044
10/1/2015,91.5959,102.7021644
11/1/2015,93.0628,102.2495267
12/1/2015,103.2203,102.0205244
1/1/2016,117.0837,102.2348156
2/1/2016,106.6688,102.8909733
3/1/2016,95.3548,103.2000511
4/1/2016,89.3254,103.0714911
5/1/2016,90.7369,102.5445956
6/1/2016,104.0375,102.1196356
7/1/2016,114.5397,102.2817333
8/1/2016,115.5159,102.8186044
9/1/2016,102.7637,103.2891422
10/1/2016,91.4867,103.2333978
11/1/2016,92.89,102.6997467
12/1/2016,112.7694,102.3921022
1/1/2017,114.8505,102.6093156
2/1/2017,99.4901,103.1391222
3/1/2017,101.0396,103.3286044
4/1/2017,88.353,103.3362467
5/1/2017,92.0805,102.8519133
6/1/2017,102.1532,102.4942444
7/1/2017,112.1538,102.5580733
8/1/2017,108.9312,103.0106667
9/1/2017,98.6154,103.2694644
10/1/2017,93.6137,102.9392911
11/1/2017,97.3359,102.2583756
12/1/2017,114.7212,101.9129267
1/1/2018,129.4048,102.1342178
